ADDRESS,INTERSECTION,RECORDUDATE,RECORD_TIME,VEHICLE_TYPE,LICENSE,STATE,COUNTY,TRACT,BLOCK_GROUP
3600 N CICERO AVENUE,CICERO AND ADDISON,7/20/2014,03:37:12,suv,OTK-829,17,031,150800,3
4000 W ROOSEVELT ROAD,ROOSEVELT AND PULASKI,8/31/2014,12:42:39,ambulance,KTE-813,17,031,843000,2
100 N CICERO AVENUE,CICERO AND WASHINGTON,7/20/2014,10:27:35,sedan,AVO-604,17,031,251800,4
3500 S WESTERN,35TH AND WESTERN,8/31/2014,09:24:18,police,JKC-063,17,031,840300,1
1600 E 79TH ST,STONEY ISLAND AND 79TH,7/2/2014,22:44:55,ambulance,FPG-630,17,031,834200,3
100 N CICERO AVENUE,CICERO AND WASHINGTON,8/24/2014,01:08:46,emergency,IKO-835,17,031,251800,4
300 N HAMLIN AVENUE,HAMLIN AND LAKE,8/1/2014,11:52:59,suv,RKB-198,17,031,260100,1
6200 N LINCOLN AVENUE,LINCOLN AND MCCORMICK,8/22/2014,22:57:15,sedan,KPT-926,17,031,130100,3
800 E 95TH STREET,COTTAGE GROVE AND 95TH,9/28/2014,02:00:59,suv,NJU-883,17,031,470100,1
2400 N CICERO AVE,CICERO AND FULLERTON,8/27/2014,15:32:49,truck,LAZ-554,17,031,190800,3
5200 N BROADWAY ST,FOSTER AND BROADWAY,7/24/2014,21:02:04,ambulance,ALC-489,17,031,030800,4
2600 S KEDZIE AVENUE,KEDZIE AND 26TH,9/14/2014,08:18:32,ambulance,JET-623,17,031,840800,1
4800 W PETERSON AVENUE,CICERO AND PETERSON,8/11/2014,18:03:56,suv,JZF-687,17,031,120200,4
100 W CHICAGO AVENUE,CHICAGO AND CLARK,8/20/2014,06:22:57,sedan,RYG-347,17,031,081000,5
4000 W FOSTER AVE,PULASKI AND FOSTER,8/26/2014,18:51:22,suv,FED-587,17,031,130200,1
2400 W DIVERSEY AVENUE,DIVERSEY AND WESTERN,7/20/2014,02:36:02,ambulance,TAN-148,17,031,210900,1
3800 W MADISON STREET,HAMLIN AND MADISON,10/7/2014,02:31:36,suv,SEO-802,17,031,260100,1
1 S HALSTED STREET,HALSTED AND MADISON,9/2/2014,13:58:16,ambulance,OYF-288,17,031,281900,3
5200 W MADISON STREET,LARAMIE AND MADISON,10/8/2014,00:39:41,emergency,KAH-662,17,031,251900,2
8300 S HALSTED STREET,HALSTED AND 83RD,9/30/2014,09:56:07,emergency,OUK-461,17,031,711000,2
1200 S CANAL STREET,CANAL AND ROOSEVELT,9/24/2014,05:19:02,police,CAO-194,17,031,841900,2
7600 S STONY ISLAND A,STONEY ISLAND AND 76TH,10/5/2014,01:36:00,emergency,RTN-645,17,031,834200,4
3200 W BELMONT,BELMONT AND KEDZIE,7/27/2014,18:59:54,suv,LZT-038,17,031,831100,1
3200 N LAKESHORE DRIV,LAKE SHORE DR AND BELMONT,9/24/2014,17:25:44,police,YVP-984,17,031,061902,4
2000 W FULLERTON AVE,DAMEN AND FULLERTON,9/5/2014,14:47:09,truck,HHJ-662,17,031,830900,1
800 W DIVISION,HALSTED AND DIVISION,10/15/2014,19:50:39,truck,AAJ-916,17,031,842200,1
2200 S WESTERN AVENUE,WESTERN AND CERMAK,9/2/2014,06:57:05,ambulance,LDU-816,17,031,841300,2
11100 S VINCENNES AVE,VINCENNES AND 111TH,8/30/2014,11:21:32,truck,CUJ-307,17,031,750200,2
3600 N CENTRAL AVENUE,CENTRAL AND ADDISON,9/12/2014,07:46:55,emergency,HZC-743,17,031,150600,2
2416 S BLUE ISLAND AV,BLUE ISLAND AND DAMEN,7/30/2014,13:05:36,sedan,NBI-003,17,031,843200,1
6400 N HARLEM AVE,HARLEM AND NORTHWEST HWY,10/10/2014,15:33:44,suv,MOL-543,17,031,090200,3
2400 N WESTERN AVENUE,WESTERN AND FULLERTON,10/13/2014,15:42:10,emergency,AZU-218,17,031,830900,2
800 W DIVISION,HALSTED AND DIVISION,8/17/2014,04:21:09,emergency,PPK-336,17,031,842200,1
2000 N WESTERN AVENUE,WESTERN AND ARMITAGE,7/9/2014,17:49:23,ambulance,RLP-469,17,031,221500,1
5200 N WESTERN AVE,WESTERN AND FOSTER,8/6/2014,16:41:49,emergency,RCL-013,17,031,040201,1
4700 S CICERO AVE,CICERO AND 47TH,9/12/2014,11:52:17,truck,NGL-664,17,031,560300,1
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,10/11/2014,19:26:17,police,ZFA-051,17,031,200402,1
100 W CHICAGO AVENUE,CHICAGO AND CLARK,8/12/2014,17:04:45,emergency,HGP-309,17,031,081000,5
4000 W NORTH AVENUE,PULASKI AND NORTH,8/20/2014,23:02:02,suv,ZVI-073,17,031,230500,1
7100 S KEDZIE AVENUE,KEDZIE AND 71ST,9/17/2014,12:40:11,sedan,ZST-900,17,031,661100,4
1600 W MADISON,ASHLAND AND MADISON,9/11/2014,19:07:50,police,TRU-274,17,031,838100,2
3200 N KEDZIE AVENUE,BELMONT AND KEDZIE,10/7/2014,05:28:18,emergency,HIC-685,17,031,831100,1
3200 W 47TH ST,KEDZIE AND 47TH,10/1/2014,17:25:25,sedan,BLB-316,17,031,580400,3
1 E 63RD ST,63RD AND STATE,10/5/2014,13:11:19,police,ZIJ-792,17,031,842500,1
3200 W 47TH ST,KEDZIE AND 47TH,12/11/2014,12:22:03,truck,HMG-703,17,031,580400,3
1600 E 83RD STREET,83RD AND STONY ISLAND,7/2/2014,18:39:46,ambulance,AOI-142,17,031,450300,1
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,9/7/2014,18:47:32,ambulance,YIA-527,17,031,200402,1
9900 S HALSTED ST,99TH AND HALSTED,8/7/2014,06:53:08,ambulance,OPA-919,17,031,730600,3
300 N HAMLIN AVENUE,HAMLIN AND LAKE,7/10/2014,00:52:15,ambulance,LVM-867,17,031,260100,1
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,7/26/2014,00:23:05,emergency,YLR-460,17,031,200402,1
5500 S WESTERN AVE,55TH AND WESTERN,9/11/2014,14:00:58,sedan,EDU-497,17,031,835100,1
6300 S ASHLAND AVE,ASHLAND AND 63RD,9/12/2014,10:49:17,sedan,EVV-937,17,031,671200,1
2400 W CHICAGO AVE,WESTERN AND CHICAGO,7/16/2014,18:44:20,truck,ZFU-483,17,031,242500,2
5200 W FULLERTON AVENUE,LARAMIE AND FULLERTON,7/20/2014,05:19:36,sedan,MCY-190,17,031,190702,3
3200 W 71ST STREET,KEDZIE AND 71ST,7/14/2014,02:26:37,truck,IAY-617,17,031,660900,3
2800 N ASHLAND AVENUE,ASHLAND AND DIVERSEY,7/5/2014,02:56:29,ambulance,LCP-716,17,031,062600,1
5000 S ARCHER AVE,PULASKI AND ARCHER,8/18/2014,00:48:22,truck,EUU-284,17,031,570300,2
800 W ROOSEVELT ROAD,ROOSEVELT AND HALSTED,9/29/2014,02:41:14,sedan,LLM-734,17,031,841900,1
5500 S WESTERN AVE,55TH AND WESTERN,9/9/2014,22:13:27,police,OND-640,17,031,835100,1
4000 N AUSTIN AVENUE,AUSTIN AND IRVING PARK,9/13/2014,08:04:40,suv,HNK-158,17,031,150502,2
4000 N CLARK STREET,CLARK AND IRVING PARK,12/11/2014,02:58:19,truck,GVF-283,17,031,060100,2
4700 S WESTERN AVENUE,4700 WESTERN,7/9/2014,18:44:58,sedan,EVN-075,17,031,842800,4
4700 S ASHLAND AVENUE,ASHLAND AND 47TH,7/18/2014,18:21:25,sedan,HHM-134,17,031,611300,1
800 N CICERO AVENUE,CICERO AND CHICAGO,10/15/2014,20:49:30,truck,KLZ-815,17,031,251000,1
3200 N KEDZIE AVENUE,BELMONT AND KEDZIE,10/1/2014,16:16:47,sedan,ATH-208,17,031,831100,1
6400 W IRVING PK,IRVING PARK AND NARRAGANSETT,9/2/2014,19:16:50,emergency,FFM-497,17,031,170100,1
3200 W IRVING PARK ROAD,IRVING PARK AND KEDZIE,7/4/2014,08:57:53,truck,OAG-554,17,031,160502,2
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,8/27/2014,18:45:03,suv,TJB-696,17,031,411000,2
2600 S KEDZIE AVENUE,KEDZIE AND 26TH,9/13/2014,20:59:06,ambulance,FKT-244,17,031,840800,1
3800 W MADISON STREET,HAMLIN AND MADISON,8/7/2014,14:02:34,police,OLF-279,17,031,260100,1
2400 W PETERSON,PETERSON AND WESTERN,9/1/2014,09:35:53,truck,JOS-509,17,031,020802,1
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,9/8/2014,10:41:39,police,HPG-108,17,031,200402,1
3200 W BELMONT,BELMONT AND KEDZIE,10/7/2014,09:28:12,ambulance,CRU-110,17,031,831100,1
800 E 95TH STREET,COTTAGE GROVE AND 95TH,7/12/2014,09:44:34,truck,GJD-398,17,031,470100,1
2000 W DIVERSEY PARKWAY,DAMEN AND DIVERSEY,9/18/2014,19:48:55,emergency,MRZ-258,17,031,051400,2
7100 S ASHLAND,71ST AND ASHLAND,12/11/2014,20:46:16,ambulance,MUN-245,17,031,672000,1
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,9/3/2014,01:06:34,suv,VJH-115,17,031,831500,1
2000 W DIVISION,DIVISION AND DAMEN,7/25/2014,07:43:55,emergency,UYI-412,17,031,241400,4
1200 W FOSTER AVE,FOSTER AND BROADWAY,9/5/2014,23:27:34,suv,UHE-994,17,031,030800,4
1 E 79TH STREET,STATE AND 79TH,9/11/2014,14:24:44,police,JEB-517,17,031,440300,5
2600 S KEDZIE AVENUE,KEDZIE AND 26TH,9/25/2014,02:41:05,sedan,LOV-746,17,031,840800,1
2400 N ASHLAND AVENUE,ASHLAND AND FULLERTON,8/18/2014,11:33:36,truck,YHH-471,17,031,070700,2
2000 W DIVISION,DIVISION AND DAMEN,8/10/2014,17:07:19,ambulance,KZJ-154,17,031,241400,4
2400 W MONTROSE AVENUE,MONTROSE AND WESTERN,8/21/2014,02:01:19,police,NIG-310,17,031,040800,1
2200 S WESTERN AVENUE,WESTERN AND CERMAK,7/15/2014,20:42:02,sedan,LZE-085,17,031,841300,2
600 S CICERO AVENUE,CICERO AND HARRISON,10/10/2014,21:27:20,emergency,FVE-037,17,031,831400,1
5600 W CHICAGO AVENUE,CENTRAL AND CHICAGO,7/31/2014,19:34:49,suv,YKM-443,17,031,251300,2
3600 N CICERO AVENUE,CICERO AND ADDISON,8/29/2014,22:14:46,ambulance,GLY-063,17,031,150800,3
3600 N CICERO AVENUE,CICERO AND ADDISON,7/10/2014,18:30:04,emergency,KIK-361,17,031,150800,3
500 W ROOSEVELT ROAD,CANAL AND ROOSEVELT,7/9/2014,05:55:15,sedan,REB-769,17,031,841900,2
800 W NORTH AVENUE,HALSTED AND NORTH,9/24/2014,01:15:53,emergency,ATL-227,17,031,832600,1
4400 W NORTH,KOSTNER AND NORTH,9/8/2014,02:29:35,sedan,VDB-779,17,031,230500,2
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/10/2014,09:51:50,sedan,TNU-095,,,,
1200 S PULASKI ROAD,ROOSEVELT AND PULASKI,10/15/2014,12:45:05,sedan,TCZ-711,17,031,290900,1
800 W DIVISION,HALSTED AND DIVISION,8/4/2014,19:40:00,police,CGF-452,17,031,842200,1
4400 N MILWAUKEE AVEN,MILWAUKEE AND MONTROSE,8/24/2014,01:08:03,sedan,DAK-508,17,031,150200,2
1600 W CORTLAND ST,CORTLAND AND ASHLAND,10/6/2014,23:13:42,sedan,LZY-074,17,031,832300,1
7200 N WESTERN AVENUE,WESTERN AND TOUHY,9/15/2014,18:00:39,truck,BRV-849,17,031,020200,2
800 W 115TH STREET,115TH AND HALSTED,8/5/2014,09:41:17,emergency,OSO-652,17,031,750600,1
2400 W PERSHING ROAD,PERSHING AND WESTERN,10/11/2014,00:05:17,police,VCR-890,17,031,840300,1
10300 S HALSTED STREE,HALSTED AND 103RD,8/10/2014,00:39:40,suv,FCR-162,,,,
1200 N PULASKI ROAD,PULASKI AND DIVISION,8/29/2014,20:52:20,sedan,MUI-797,17,031,230600,2
1600 W 87TH ST,ASHLAND AND 87TH,8/30/2014,23:43:24,truck,TFL-224,17,031,711200,2
3000 W CHICAGO AVENUE,SACRAMENTO AND CHICAGO,9/3/2014,07:10:48,emergency,LLV-848,17,031,836600,1
300 N HAMLIN AVENUE,HAMLIN AND LAKE,10/11/2014,22:08:01,ambulance,HOU-525,17,031,260100,1
500 N COLUMBUS DRIVE,COLUMBUS AND ILLINOIS,8/29/2014,11:26:59,police,HKH-121,17,031,081403,1
2400 W PERSHING ROAD,PERSHING AND WESTERN,8/22/2014,07:12:26,emergency,OZK-069,17,031,840300,1
300 N HAMLIN AVENUE,HAMLIN AND LAKE,8/10/2014,18:12:39,truck,EIK-437,17,031,260100,1
5600 W ADDISON STREET,CENTRAL AND ADDISON,9/19/2014,11:54:11,ambulance,EEP-677,17,031,150600,2
2400 W CERMAK ROAD,WESTERN AND CERMAK,7/16/2014,08:02:30,emergency,RTM-222,17,031,841200,2
4400 W GRAND AVE,KOSTNER AND NORTH,7/16/2014,20:03:09,emergency,UPP-166,17,031,230500,2
7100 S KEDZIE AVENUE,KEDZIE AND 71ST,9/25/2014,10:38:48,sedan,JPE-554,17,031,661100,4
4400 W NORTH,KOSTNER AND NORTH,10/8/2014,20:24:01,suv,RIZ-881,17,031,230500,2
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,9/7/2014,06:11:58,suv,SPH-674,17,031,831500,1
4000 N CLARK STREET,CLARK AND IRVING PARK,9/12/2014,14:29:34,truck,FHB-516,17,031,060100,2
500 N COLUMBUS DRIVE,COLUMBUS AND ILLINOIS,9/18/2014,20:40:30,truck,ZMZ-609,17,031,081403,1
2400 N ASHLAND AVENUE,ASHLAND AND FULLERTON,7/9/2014,16:46:59,suv,LUI-393,17,031,070700,2
8300 S STONY ISLAND A,83RD AND STONY ISLAND,8/17/2014,13:37:21,ambulance,DDN-929,17,031,834300,3
5200 W FULLERTON AVENUE,LARAMIE AND FULLERTON,8/23/2014,03:56:13,ambulance,VLJ-822,17,031,190702,3
4000 W 55TH ST,55TH and PULASKI,7/26/2014,13:22:54,police,BMS-500,17,031,620200,1
2800 W DEVON AVENUE,CALIFORNIA AND DEVON,10/7/2014,15:51:42,emergency,BJB-850,17,031,020601,3
4400 W OGDEN AVENUE,OGDEN AND KOSTNER,9/25/2014,19:14:25,ambulance,UUL-799,17,031,843400,1
3200 N PULASKI RD,PULASKI AND BELMONT,8/31/2014,12:03:24,ambulance,PKH-005,17,031,161300,2
3100 S ARCHER AVENUE,ASHLAND AND ARCHER,9/27/2014,17:35:57,suv,DJL-395,17,031,840400,1
800 W FULLERTON AVENUE,HALSTED AND FULLERTON,8/19/2014,13:56:46,truck,PIR-793,17,031,070300,2
4000 W ARMITAGE AVENUE,PULASKI AND ARMITAGE,7/27/2014,11:28:19,emergency,COC-766,17,031,200402,1
2800 W DIVERSEY,CALIFORNIA AND DIVERSEY,8/7/2014,01:12:52,police,EAL-732,17,031,210800,1
4400 W ROOSEVELT,ROOSEVELT AND KOSTNER,8/12/2014,21:59:32,sedan,KFF-135,17,031,843000,2
4000 W PETERSON AVENUE,PULASKI AND PETERSON,7/25/2014,09:57:05,ambulance,MAS-972,17,031,130200,1
2400 W FOSTER AVE,WESTERN AND FOSTER,9/1/2014,15:58:26,police,OHA-370,17,031,040201,1
5700 S CORNELL DRIVE,CORNELL DRIVE AND 57TH,9/4/2014,03:11:58,suv,OLZ-588,17,031,411000,2
8700 S ASHLAND AVE,ASHLAND AND 87TH,9/23/2014,07:40:20,police,DYP-378,17,031,711300,1
6000 N CICERO AVENUE,CICERO AND PETERSON,7/19/2014,10:41:03,ambulance,IEF-958,17,031,120200,4
9900 S HALSTED ST,99TH AND HALSTED,8/13/2014,16:28:41,ambulance,IKE-292,17,031,730600,3
500 N COLUMBUS DRIVE,COLUMBUS AND ILLINOIS,10/13/2014,18:54:44,truck,CCK-622,17,031,081403,1
6000 N PULASKI ROAD,PULASKI AND PETERSON,9/16/2014,20:56:02,ambulance,CGY-052,17,031,130200,1
11900 S HALSTED,119TH AND HALSTED,7/30/2014,07:46:47,truck,PPP-383,17,031,530400,1
500 N COLUMBUS DRIVE,COLUMBUS AND ILLINOIS,7/7/2014,05:54:19,sedan,PZZ-453,17,031,081403,1
2800 N ASHLAND AVENUE,ASHLAND AND DIVERSEY,10/10/2014,22:55:59,emergency,DGT-809,17,031,062600,1
6400 W IRVING PK,IRVING PARK AND NARRAGANSETT,7/15/2014,10:01:38,ambulance,OKD-886,17,031,170100,1
1200 W DEVON AVE,BROADWAY/SHERIDAN AND DEVON,8/13/2014,10:04:26,emergency,ACM-575,17,031,010503,1
4200 S CICERO AVENUE,CICERO AND I55,7/23/2014,14:51:28,ambulance,CJR-748,17,031,560100,1
2000 W DIVISION,DIVISION AND DAMEN,9/18/2014,14:37:11,police,TCJ-588,17,031,241400,4
3200 N CENTRAL AVENUE,CENTRAL AND BELMONT,8/19/2014,07:03:20,truck,VGO-238,17,031,151200,2
1 N HALSTED STREET,HALSTED AND MADISON,8/28/2014,06:12:49,truck,DUD-118,17,031,280100,3
4000 W PETERSON AVENUE,PULASKI AND PETERSON,7/22/2014,03:01:51,police,LOB-074,17,031,130200,1
200 W GARFIELD BLVD,WENTWORTH AND GARFIELD,7/20/2014,21:34:53,suv,CAU-472,17,031,835600,2
1600 W CORTLAND ST,CORTLAND AND ASHLAND,7/23/2014,01:53:59,suv,SFD-099,17,031,832300,1
400 N LASALLE,LASALLE AND KINZIE,7/7/2014,13:47:37,sedan,LSJ-754,17,031,081700,2
5200 N PULASKI RD,PULASKI AND FOSTER,10/3/2014,04:16:08,sedan,KJK-904,17,031,130200,1
3500 S WESTERN,35TH AND WESTERN,9/3/2014,05:45:23,suv,JES-173,17,031,840300,1
2000 N WESTERN AVENUE,WESTERN AND ARMITAGE,8/13/2014,06:36:25,sedan,HUH-583,17,031,221500,1
6000 N CALIFORNIA AVE,CALIFORNIA AND PETERSON,9/12/2014,06:11:34,sedan,ANR-843,17,031,020702,3
2400 W LAWRENCE AVENUE,LAWRENCE AND WESTERN,8/17/2014,21:16:46,suv,CDK-669,17,031,040201,1
3200 N KEDZIE AVE,BELMONT AND KEDZIE,9/19/2014,23:17:14,suv,AHK-272,17,031,831100,1
2000 W DIVISION,DIVISION AND DAMEN,8/14/2014,16:33:55,emergency,JFK-796,17,031,241400,4
800 W ROOSEVELT ROAD,ROOSEVELT AND HALSTED,9/21/2014,00:31:49,suv,DGR-593,17,031,841900,1
4400 W GRAND AVE,KOSTNER AND NORTH,9/29/2014,15:26:04,emergency,MIV-696,17,031,230500,2
1 E 63RD ST,63RD AND STATE,7/12/2014,17:46:38,truck,ICK-359,17,031,842500,1
400 E 31ST STREET,31ST ST AND MARTIN LUTHER KING DRIVE,8/11/2014,18:13:54,ambulance,IOV-232,17,031,350100,1
6800 N WESTERN AVENUE,WESTERN AND PRATT,10/8/2014,10:43:05,truck,YZH-972,17,031,020302,3
6700 S CORNELL DRIVE,STONY ISLAND/CORNELL AND 67TH,9/16/2014,18:28:05,suv,TRK-906,17,031,430200,5
3600 N WESTERN AVENUE,WESTERN AND ADDISON,9/7/2014,13:48:11,police,JER-921,17,031,843700,1
800 W 115TH STREET,115TH AND HALSTED,8/30/2014,22:12:29,police,RLM-233,17,031,750600,1
3500 S WESTERN,35TH AND WESTERN,9/3/2014,19:55:12,truck,UDA-630,17,031,840300,1
4200 S CICERO AVENUE,CICERO AND I55,7/12/2014,20:08:05,sedan,OTG-203,17,031,560100,1
3200 W 63RD ST,KEDZIE AND 63RD,8/14/2014,21:04:29,police,UZI-906,17,031,660400,2
4800 W 47TH ST,CICERO AND 47TH,8/2/2014,22:09:11,emergency,VGS-461,17,031,560100,1
8700 S ASHLAND AVE,ASHLAND AND 87TH,9/6/2014,23:17:22,suv,LBM-096,17,031,711300,1
3200 W 63RD ST,KEDZIE AND 63RD,8/1/2014,09:29:22,police,MMJ-517,17,031,660400,2
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,7/27/2014,04:54:50,ambulance,BBU-798,17,031,831500,1
1600 W 63RD STREET,ASHLAND AND 63RD,8/27/2014,03:27:24,emergency,NDL-524,17,031,670700,2
1 E 63RD ST,63RD AND STATE,8/10/2014,07:44:04,emergency,GYU-689,17,031,842500,1
3200 N LAKESHORE DRIV,LAKE SHORE DR AND BELMONT,8/22/2014,15:12:29,ambulance,OCB-508,17,031,061902,4
3600 N CENTRAL AVENUE,CENTRAL AND ADDISON,8/16/2014,15:48:10,emergency,SGU-035,17,031,150600,2
4200 S CICERO AVENUE,CICERO AND I55,7/5/2014,20:23:29,emergency,AMC-536,17,031,560100,1
4800 W CHICAGO AVENUE,CICERO AND CHICAGO,9/18/2014,16:26:20,truck,JOL-446,17,031,251000,1
6400 N SHERIDAN ROAD,BROADWAY/SHERIDAN AND DEVON,9/5/2014,09:37:42,truck,SNN-504,17,031,010503,1
3500 S WESTERN,35TH AND WESTERN,8/28/2014,16:37:51,truck,TPS-636,17,031,840300,1
30 W 87TH STREET,LAFAYETTE AND 87TH,9/25/2014,06:38:05,ambulance,SNT-300,17,031,842400,1
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,8/7/2014,06:42:30,sedan,RBG-068,17,031,831500,1
4800 N ASHLAND AVENUE,ASHLAND AND LAWRENCE,7/10/2014,22:36:36,police,UCU-625,17,031,031000,3
1600 W CORTLAND ST,CORTLAND AND ASHLAND,9/23/2014,14:20:12,emergency,CLI-479,17,031,832300,1
6400 N HARLEM AVE,HARLEM AND NORTHWEST HWY,8/3/2014,01:44:01,suv,IZP-066,17,031,090200,3
1900 N ASHLAND AVE,CORTLAND AND ASHLAND,8/8/2014,10:25:50,suv,UTP-906,17,031,832300,1
3400 W NORTH AVE,HOMAN/KIMBALL AND NORTH,10/11/2014,11:33:09,emergency,JVB-835,17,031,230200,1
1 S WESTERN AVE,MADISON AND WESTERN,9/13/2014,10:59:59,emergency,TPM-788,17,031,280900,1
100 W CHICAGO AVENUE,CHICAGO AND CLARK,10/14/2014,04:24:46,suv,NPC-569,17,031,081000,5
0 S CENTRAL AVENUE,MADISON AND CENTRAL,10/28/2014,07:58:31,suv,USH-385,,,,
400 S WESTERN AVENUE,VAN BUREN AND WESTERN,9/15/2014,17:57:11,truck,IRB-087,17,031,282700,2
2000 W DIVERSEY PARKWAY,DAMEN AND DIVERSEY,10/12/2014,00:14:42,suv,GRD-683,17,031,051400,2
4000 W FOSTER AVE,PULASKI AND FOSTER,7/12/2014,16:31:24,suv,BCZ-013,17,031,130200,1
2400 W LAWRENCE AVENUE,LAWRENCE AND WESTERN,8/24/2014,14:52:10,emergency,RGI-165,17,031,040201,1
3200 N LAKESHORE DRIV,LAKE SHORE DR AND BELMONT,9/29/2014,23:31:35,emergency,FYK-880,17,031,061902,4
8700 S LAFAYETTE AVEN,LAFAYETTE AND 87TH,8/11/2014,15:39:21,emergency,PTD-131,17,031,842400,1
1300 W IRVING PARK ROAD,CLARK AND IRVING PARK,9/16/2014,18:42:23,emergency,TSH-405,17,031,830700,1
3200 W BELMONT,BELMONT AND KEDZIE,7/19/2014,23:56:02,police,NOL-711,17,031,831100,1
7600 S STONY ISLAND A,STONEY ISLAND AND 76TH,9/25/2014,00:40:07,sedan,VAL-452,17,031,834200,4
1200 N PULASKI ROAD,PULASKI AND DIVISION,9/17/2014,06:32:29,sedan,AIA-858,17,031,230600,2
3400 W NORTH AVE,HOMAN/KIMBALL AND NORTH,9/3/2014,14:56:07,truck,UCN-303,17,031,230200,1
400 W BELMONT AVE,LAKE SHORE DR AND BELMONT,8/17/2014,20:46:05,police,LKR-681,17,031,061902,1
4000 W FOSTER AVE,PULASKI AND FOSTER,7/8/2014,11:57:13,sedan,GLB-970,17,031,130200,1
2200 S PULASKI,CERMAK AND PULASKI,7/5/2014,11:46:25,sedan,LYU-387,17,031,843400,1
5200 N BROADWAY ST,FOSTER AND BROADWAY,8/28/2014,19:07:20,truck,ELE-759,17,031,030800,4
2000 W DIVERSEY PARKWAY,DAMEN AND DIVERSEY,10/11/2014,01:55:44,ambulance,ZUL-792,17,031,051400,2
2400 W 79TH ST,WESTERN AND 79TH,8/19/2014,11:58:06,emergency,TAH-407,17,031,700100,2
6800 N WESTERN AVENUE,WESTERN AND PRATT,9/5/2014,15:07:14,police,FTE-252,17,031,020302,3
6300 S HALSTED STREET,HALSTED AND 63RD,8/23/2014,15:51:32,ambulance,DSZ-769,17,031,681000,4
3600 N AUSTIN AVENUE,AUSTIN AND ADDISON,8/27/2014,19:53:06,police,OGL-348,17,031,170200,2
1200 S PULASKI ROAD,ROOSEVELT AND PULASKI,8/10/2014,19:06:39,emergency,LPG-318,17,031,290900,1
6400 N WESTERN AVENUE,WESTERN AND DEVON,7/13/2014,18:39:53,police,TNY-604,17,031,020602,2
2400 W FOSTER AVE,WESTERN AND FOSTER,8/14/2014,19:15:19,emergency,TJE-039,17,031,040201,1
2000 N WESTERN AVENUE,WESTERN AND ARMITAGE,9/13/2014,04:35:34,suv,ZAK-604,17,031,221500,1
4800 W HARRISON STREET,CICERO AND HARRISON,8/28/2014,04:59:28,truck,ECU-855,17,031,252202,5
6300 S STATE ST,63RD AND STATE,12/11/2014,14:16:12,police,UUO-744,17,031,842500,1
4000 W PETERSON AVENUE,PULASKI AND PETERSON,7/23/2014,01:29:11,police,YHK-047,17,031,130200,1
7500 S STATE STREET,75TH AND STATE,7/29/2014,17:37:55,ambulance,GCV-154,17,031,691200,2
4400 W OGDEN AVENUE,OGDEN AND KOSTNER,8/12/2014,04:06:30,suv,IEJ-179,17,031,843400,1
7900 S STONEY ISLAND,STONEY ISLAND AND 79TH,7/17/2014,14:42:30,suv,GMB-780,17,031,834300,6
5500 S KEDZIE AVENUE,55TH AND KEDZIE,10/12/2014,16:40:06,sedan,CAJ-394,17,031,630900,1
30 W 87TH STREET,LAFAYETTE AND 87TH,7/20/2014,09:54:17,ambulance,FGT-558,17,031,842400,1
9500 S ASHLAND AVENUE,ASHLAND AND 95TH,9/6/2014,16:44:15,truck,KHG-781,17,031,730400,2
4800 N ASHLAND AVENUE,ASHLAND AND LAWRENCE,10/5/2014,18:07:10,police,IPG-853,17,031,031000,3
3600 N CENTRAL AVENUE,CENTRAL AND ADDISON,7/7/2014,22:15:27,sedan,KDD-699,17,031,150600,2
2400 W 71ST STREET,WESTERN AND 71ST,7/24/2014,10:59:10,ambulance,GSF-466,17,031,660900,2
5600 W DIVERSEY AVENUE,CENTRAL AND DIVERSEY,9/1/2014,12:58:32,police,IYL-255,17,031,190402,2
2000 N WESTERN AVENUE,WESTERN AND ARMITAGE,8/15/2014,14:50:34,emergency,KSN-349,17,031,221500,1
1300 W IRVING PARK ROAD,CLARK AND IRVING PARK,7/11/2014,02:33:55,emergency,GYL-242,17,031,830700,1
7432 W TOUHY AVENUE,TOUHY AND OSCEOLA,7/30/2014,06:28:52,truck,CCU-805,17,031,090100,2
6400 W FOSTER,FOSTER AND NAGLE,10/7/2014,08:41:10,sedan,AOB-712,17,031,100600,2
2400 W CHICAGO AVE,WESTERN AND CHICAGO,7/7/2014,02:28:35,police,RHM-082,17,031,242500,2
6400 W FOSTER,FOSTER AND NAGLE,9/10/2014,18:01:19,police,BSU-852,17,031,100600,2
6300 S PULASKI RD,PULASKI AND 63RD,10/11/2014,10:23:34,emergency,MAS-926,17,031,650301,3
1600 N HALSTED STREET,HALSTED AND NORTH,9/5/2014,19:43:18,suv,FOA-471,17,031,832600,1
4700 S CICERO AVE,CICERO AND 47TH,9/16/2014,18:44:57,ambulance,VNA-513,17,031,560300,1
